,GEOID,DAC_Designation,REDC,County,City_Town,NYC_Region,Urban_Rural,Tribal_Designation,Household_Low_Count_Flag,Population_Count,Household_Count,Percentile_Rank_Combined_Statewide,Percentile_Rank_Combined_NYC,Percentile_Rank_Combined_ROS,Combined_Score,Burden_Score_Percentile,Vulnerability_Score_Percentile,Burden_Score,Vulnerability_Score,Benzene_Concentration,Particulate_Matter_25,Traffic_Truck_Highways,Traffic_Number_Vehicles,Wastewater_Discharge,Housing_Vacancy_Rate,Industrial_Land_Use,Landfills,Oil_Storage,Municipal_Waste_Combustors,Power_Generation_Facilities,RMP_Sites,Remediation_Sites,Scrap_Metal_Processing,Agricultural_Land_Use,Coastal_Flooding_Storm_Risk,Days_Above_90_Degrees_2050,Drive_Time_Healthcare,Inland_Flooding_Risk,Low_Vegetative_Cover,Asian_Percent,Black_African_American_Percent,Redlining_Updated,Latino_Percent,English_Proficiency,Native_Indigenous,LMI_80_AMI,LMI_Poverty_Federal,Population_No_College,Household_Single_Parent,Unemployment_Rate,Asthma_ED_Rate,COPD_ED_Rate,Households_Disabled,Low_Birth_Weight,MI_Hospitalization_Rate,Health_Insurance_Rate,Age_Over_65,Premature_Deaths,Internet_Access,Home_Energy_Affordability,Homes_Built_Before_1960,Mobile_Homes,Rent_Percent_Income,Renter_Percent
0,36001000100,Designated as a Draft DAC,Capital Region,Albany,Albany city,Rest of State,urban,No,No,2035,800,0.994978,0.0,0.998137,3855.3895,0.995037,0.861268,57.6364,66.8916,0.483162,0.302618,0.905209,0.923287,0.62898,0.79881,0.601327,0.0,0.0,0.0,0.0,0.993194,0.787092,0.0,0.447874,0.854089,0.511604,0.626454,0.949929,0.520316,0.437083,0.931495,0.692108,0.560718,0.477451,0.955537,0.845123,0.830019,0.902929,0.950193,0.883281,0.87387,0.800715,0.867364,0.895629,0.338455,0.699832,0.258004,0.087871,0.630097,0.584973,0.448536,0.0,0.623305,0.77366
1,36001000200,Designated as a Draft DAC,Capital Region,Albany,Albany city,Rest of State,urban,No,No,4793,2213,0.900816,0.0,0.957899,2531.3974,0.707403,0.897677,36.3711,69.5991,0.497331,0.305916,0.704597,0.632362,0.633631,0.937327,0.809409,0.0,0.0,0.0,0.0,0.976696,0.0,0.0,0.029858,0.151487,0.511604,0.311288,0.246121,0.54206,0.426856,0.961439,1.0,0.248363,0.207598,0.931208,0.971118,0.919196,0.700209,0.988622,0.887907,0.925794,0.945974,0.480335,0.951056,0.446853,0.748321,0.043315,0.991591,0.754729,0.584973,0.40251,0.0,0.749788,0.873744
2,36001000300,Designated as a Draft DAC,Capital Region,Albany,Albany city,Rest of State,urban,No,No,6147,2362,0.912325,0.0,0.963487,2579.4706,0.846567,0.817535,40.5305,63.6427,0.48501,0.313544,0.890092,0.774261,0.409302,0.892076,0.562123,0.0,0.0,0.0,0.0,0.932357,0.574184,0.747312,0.276822,0.035316,0.511604,0.184119,0.399859,0.496596,0.781458,0.840801,0.692849,0.540444,0.206618,0.357103,0.801591,0.805108,0.551046,0.937742,0.953102,0.87387,0.800715,0.814644,0.895629,0.338455,0.502729,0.500105,0.087871,0.555275,0.584973,0.569247,0.0,0.801695,0.704774
6,36001000501,Designated as a Draft DAC,Capital Region,Albany,Albany city,Rest of State,urban,No,No,3523,1433,0.607449,0.0,0.78763,1711.9664,0.223325,0.827579,26.6237,64.3024,0.472485,0.30571,0.39714,0.657724,0.0,0.726365,0.0,0.0,0.0,0.0,0.0,0.919365,0.574184,0.0,0.0,0.0,0.511604,0.178812,0.0,0.664617,0.264117,0.841879,0.158948,0.734952,0.711765,0.519295,0.913981,0.920033,0.694561,0.942035,0.73123,0.634013,0.5926,0.515272,0.728927,0.356136,0.686608,0.15882,0.624974,0.878731,0.584973,0.480544,0.0,0.636441,0.849456
8,36001000600,Designated as a Draft DAC,Capital Region,Albany,Albany city,Rest of State,urban,No,No,3663,1408,0.8077,0.0,0.912072,2171.0895,0.330232,0.957732,29.0363,74.7717,0.482341,0.307772,0.359551,0.635297,0.481574,0.891651,0.0,0.0,0.0,0.0,0.0,0.94535,0.0,0.0,0.0,0.0,0.511604,0.262298,0.0,0.738195,0.833259,0.809349,0.732123,0.584794,0.530637,0.462808,0.926957,0.991627,0.804184,0.866681,0.975605,0.949968,0.939878,0.609205,0.847731,0.708272,0.736986,0.007742,0.996426,0.320933,0.825241,0.698745,0.357379,0.902966,0.925042
9,36001000700,Designated as a Draft DAC,Capital Region,Albany,Albany city,Rest of State,urban,No,No,3885,1485,0.959406,0.0,0.980253,2930.7045,0.793424,0.968403,38.6996,75.7296,0.491992,0.306741,0.747906,0.505345,0.562791,0.938602,0.445718,0.0,0.0,0.0,0.0,0.958548,0.0,0.0,0.38664,0.1171,0.511604,0.311288,0.468265,0.499231,0.148955,0.948729,1.0,0.475818,0.347304,0.858221,0.963583,0.920452,0.837657,0.969944,0.982334,0.949968,0.939878,0.96318,0.847731,0.708272,0.662678,0.257585,0.996426,0.777217,0.584973,0.888075,0.0,0.866525,0.790201
10,36001000800,Designated as a Draft DAC,Capital Region,Albany,Albany city,Rest of State,urban,No,No,2192,842,0.904583,0.0,0.960134,2550.8654,0.487593,0.995815,31.8748,80.0275,0.500821,0.301175,0.368335,0.740935,0.577102,0.952624,0.645356,0.0,0.0,0.0,0.0,0.962466,0.0,0.0,0.0,0.0,0.511604,0.227802,0.0,0.739073,0.332148,0.946575,1.0,0.714467,0.532353,0.991331,0.954374,0.94641,0.94477,0.992915,0.997687,0.949968,0.939878,0.972176,0.847731,0.708272,0.650714,0.179954,0.996426,0.942833,0.825241,0.881172,0.0,0.581144,0.884422
11,36001001100,Designated as a Draft DAC,Capital Region,Albany,Albany city,Rest of State,urban,No,No,1573,893,0.989328,0.0,0.996647,3539.3357,0.972084,0.898933,50.7965,69.6768,0.504312,0.297671,0.745455,0.850136,0.667263,0.852985,0.275633,0.0,0.451852,0.0,0.0,0.977521,0.787092,0.0,0.040486,0.729554,0.511604,0.244131,0.913258,0.702614,0.527345,0.81452,1.0,0.465259,0.383088,0.887864,0.958979,0.961063,0.693933,0.260627,0.507466,0.925794,0.945974,0.990377,0.951056,0.446853,0.815071,0.762084,0.991591,0.984447,0.257639,0.476151,0.0,0.394915,0.924623
20,36001002000,Designated as a Draft DAC,Capital Region,Albany,Albany city,Rest of State,urban,No,No,5966,2386,0.860013,0.0,0.943741,2357.2887,0.82072,0.751203,39.6054,59.5194,0.450103,0.278705,0.921144,0.714316,0.464043,0.752709,0.0,0.0,0.0,0.0,0.0,0.942669,0.0,0.0,0.140182,0.271375,0.511604,0.950194,0.170663,0.446519,0.774344,0.816674,0.20452,0.692925,0.647794,0.0,0.654458,0.784593,0.634937,0.879347,0.205468,0.783267,0.855581,0.206485,0.82054,0.511682,0.799748,0.105043,0.937145,0.53615,0.584973,0.806695,0.030443,0.557839,0.578518
22,36001002200,Designated as a Draft DAC,Capital Region,Albany,Albany city,Rest of State,urban,No,No,2766,1479,0.612262,0.0,0.792474,1720.4688,0.294665,0.770036,28.3149,60.762,0.506982,0.297052,0.269867,0.610354,0.601073,0.596771,0.0,0.0,0.0,0.0,0.0,0.965972,0.574184,0.0,0.0,0.0,0.511604,0.113901,0.0,0.688777,0.649177,0.799224,0.791404,0.463992,0.1375,0.826342,0.767895,0.712581,0.173849,0.918849,0.774132,0.925794,0.945974,0.559414,0.951056,0.446853,0.303107,0.225152,0.991591,0.374317,0.257639,0.785356,0.0,0.498517,0.819095
